R,W,Tr,Frac_b,V,A,C,Taub,t,Ia,In,Ik,Iyb,Inb,Ic,Iprofit,Ib,Iv,AssetMarketResidual,GBCResidual
1.0390285651423627,1.3170249507518466,0.52579939567177,0.3354431473198657,-68.72377751576752,15.45677733269715,1.5630155828646806,0.4,153,15.456896620785917,-0.6734015248091522,2.578975144779434,0.6591305752741854,0.16515436145773646,1.5630218616627949,0.23522638307528898,0.335439578721078,-68.72267166345144,0.00029150887160789697,3.4247179933761258e-6
1.0390284924323343,1.317026283954572,0.5257999413325453,0.33544295388374584,-68.72377406104715,15.456802633051039,1.5630168357559404,0.4,154,15.456920820642628,-0.6734021493259597,2.5789716303060235,0.6591293787324968,0.16515390036980038,1.5630230772508713,0.23522604353760268,0.3354394112688126,-68.72266780421502,0.00028973841962766725,3.336005388419601e-6
1.0390284218962385,1.3170275772987825,0.5258004711184232,0.33544276438814324,-68.72377081399675,15.456827195914231,1.5630180482661502,0.4,155,15.456944292811807,-0.6734027584819106,2.5789681780066824,0.6591282100078428,0.1651534511902068,1.5630242527088734,0.23522571212237953,0.33543924754687426,-68.72266416046699,0.00028798840996154023,3.249906154864818e-6
1.0390283534581761,1.3170288321759478,0.5258009855762236,0.3354425787366447,-68.72376776486769,15.456851046715371,1.5630192218835999,0.4,156,15.456967062707013,-0.6734033527176502,2.5789647869923886,0.6591270683639509,0.16515301356017956,1.5630253895280408,0.2352253886029664,0.3354390874599919,-68.72266072229841,0.0002862535771903244,3.1664883022049924e-6
1.039028287045169,1.317030049923976,0.5258014852318542,0.3354423968356124,-68.72376490434209,15.456874209911264,1.5630203580373887,0.4,157,15.456989154766344,-0.6734039324592305,2.578961456377208,0.6591259530870892,0.1651525871333244,1.5630264891401873,0.23522507276001162,0.33543893091570276,-68.72265748023489,0.0002845389175875573,3.0854989346516314e-6
1.0390282225870429,1.3170312318293926,0.5258019705911592,0.33544221859409223,-68.72376222351396,15.45689670902626,1.5630214580998774,0.4,158,15.457010592491992,-0.6734044981186481,2.5789581852788883,0.6591248634852857,0.16515217157515913,1.5630275529201638,0.23522476438120177,0.335438777824258,-68.72265442521763,0.00028283915966159954,3.0070132137779537e-6
1.0390281600163116,1.31703237912943,0.5258024421407322,0.3354420439237256,-68.72375971387136,15.456918566689978,1.5630225233890382,0.4,159,15.457031398488148,-0.6734050500943607,2.5789549728194108,0.6591237988875762,0.16515176656266287,1.5630285821882155,0.235224463261009,0.33543862809853275,-68.72265154858555,0.00028115929592862607,2.9307850177995006e-6
1.0390280992680703,1.3170334930140275,0.525802900348695,0.3354418727386643,-68.72375736727918,15.456939804673477,1.5630235551707052,0.4,160,15.457051594497305,-0.673405588771783,2.578951818125502,0.6591227586432832,0.16515137178384315,1.5630295782122394,0.2352241692004479,0.33543848165393814,-68.72264884205791,0.00027949404989095593,2.8568960937172694e-6
1.0390280402798886,1.3170345746277476,0.5258033456654435,0.33544170495548864,-68.72375517596276,15.456960443923895,1.5630245546607286,0.4,161,15.457071201435081,-0.6734061145237636,2.5789487203291124,0.6591217421213192,0.16515098693732078,1.5630305422099482,0.2352238820068421,0.335438338408338,-68.7226462977179,0.0002778484111661837,2.785106553196308e-6
1.0390279829917113,1.3170356250716135,0.5258037785243637,0.3354415404931281,-68.7237531324922,15.45698050459766,1.5630255230270393,0.4,162,15.457090239423556,-0.6734066277110429,2.5789456785678566,0.6591207487095181,0.16515061173193094,1.5630314753509398,0.2352236014935996,0.3354381982819675,-68.72264390799684,0.00027621709905740544,2.715504205497544e-6
1.039027927345763,1.3170366454048696,0.5258041993425152,0.3354413792727857,-68.72375122976733,15.457000006092281,1.5630264613916236,0.4,163,15.45710872782324,-0.6734071286826917,2.5789426919854224,0.6591197778139912,0.16515024588634056,1.5630323787586826,0.23522332747999697,0.3354380611973556,-68.72264166565904,0.00027460510108938147,2.647854901949707e-6
1.0390278732864549,1.3170376366466667,0.5258046085212899,0.3354412212178647,-68.72374946100332,15.457018967076868,1.5630273708324176,0.4,164,15.457126685263683,-0.6734076177765357,2.578939759731949,0.6591188288585075,0.16514988912868087,1.5630332535124143,0.23522305979097194,0.33543792707924946,-68.72263956378738,0.00027300713328191054,2.582252036529144e-6
1.0390278207602972,1.317038599777678,0.5258050064470396,0.3354410662538974,-68.72374781971702,15.457037405521332,1.5630282523851202,0.4,165,15.457144129672859,-0.6734080953195598,2.5789368809643722,0.6591179012838968,0.16514954119619452,1.5630341006489632,0.23522279825692377,0.33543779585454275,-68.72263759576953,0.0002714281815844933,2.518466743485542e-6
1.0390277697158148,1.3170395357416478,0.5258053934916797,0.3354409143084776,-68.72374629971372,15.457055338724384,1.5630291070449285,0.4,166,15.457161078305273,-0.6734085616282995,2.5789340548467456,0.6591169945474753,0.16514920183489695,1.5630349211644905,0.2352225427135214,0.3354376674522053,-68.72263575528464,0.00026986295944686207,2.4565975606402315e-6
1.0390277201034657,1.3170404454468758,0.5258057700132669,0.3354407653111944,-68.72374489507465,15.457072783340394,1.5630299357682014,0.4,167,15.457177547768937,-0.6734090170092154,2.5789312805505316,0.6591161081224925,0.165148870799251,1.56303571601616,0.23522229300151892,0.33543754180321644,-68.72263403629074,0.00026831645182238403,2.3964204860984566e-6
1.0390276718755644,1.3170413297676384,0.5258061363565532,0.3354406191935692,-68.72374360014486,15.457089755405091,1.5630307394740521,0.4,168,15.457193554051212,-0.6734094617590534,2.5789285572548692,0.6591152414975994,0.16514854785185465,1.563036486123739,0.23522204896657822,0.33543741884049977,-68.72263243301265,0.0002667833703246636,2.338038799425076e-6
1.0390276249862067,1.3170421895455524,0.5258064928535164,0.3354404758889946,-68.72374240952188,15.457106270360239,1.5630315190458755,0.4,169,15.457209112543584,-0.6734098961651918,2.5789258841468152,0.659114394176334,0.16514823276314092,1.5630372323711283,0.23522181045909804,0.335437298498861,-68.72263093993038,0.0002652686994953719,2.2812329805498485e-6
1.0390275793911987,1.3170430255908803,0.5258068398238698,0.3354403353326752,-68.72374131804452,15.457122343077254,1.5630322753328088,0.4,170,15.457224238065406,-0.673410320505974,2.5789232604215675,0.6591135656766292,0.1651479253110898,1.563037955607832,0.2352215773340499,0.33543718071492773,-68.72262955176805,0.0002637671495197844,2.226110679869746e-6
1.0390275350479885,1.3170438386837824,0.5258071775755487,0.335440197461571,-68.72374032078247,15.457137987879875,1.5630330091511309,0.4,171,15.457238944886655,-0.6734107350510287,2.578920685282661,0.6591127555303352,0.16514762528095145,1.5630386566503622,0.23522134945082007,0.3354370654270911,-68.72262826348327,0.0002622837050679525,2.1724565057422453e-6
1.0390274919156006,1.3170446295755176,0.525807506405179,0.33544006221434247,-68.72373941302621,15.457153218565868,1.563033721285605,0.4,172,15.457253246749769,-0.6734111400615779,2.578918157942147,0.6591119632827626,0.16514733246498034,1.5630393362835868,0.2352211266730575,0.33543695257545025,-68.72262707025706,0.00026081307533404487,2.120382136021303e-6
1.0390274499545733,1.3170453989895927,0.5258078265985244,0.3354399295312977,-68.72373859027732,15.45716804842785,1.563034412490763,0.4,173,15.457267156890557,-0.6734115357907328,2.5789156776207527,0.6591111884922397,0.16514704666217989,1.5630399952620198,0.23522090886852753,0.3354368421017579,-68.72262596748409,0.0002593602455012117,2.069675983456711e-6
1.0390274091268994,1.317046147622865,0.5258081384309168,0.33543979935434126,-68.72373784823935,15.457182490273247,1.5630350834921358,0.4,174,15.457280688058248,-0.6734119224837787,2.5789132435480218,0.6591104307296872,0.16514676767805694,1.5630406343110572,0.23522069590897113,0.3354367339493684,-68.72262495076345,0.00025791992441730215,2.0204534468271576e-6
