R,W,Tr,Frac_b,V,A,C,t
1.0417415057707686,1.1205400034101676,0.6369853412585603,0.1862955597962493,-70.67173662247703,13.049747224268247,1.7167183026503987,54
1.0417418413389017,1.1205344746309536,0.6369806000012299,0.18629606791102443,-70.67174728450581,13.049671748240433,1.7167100419524128,55
1.041742161446221,1.1205292005822063,0.6369760615189067,0.1862965643881738,-70.6717558557134,13.049600249713071,1.7167022164308858,56
1.0417424669209625,1.1205241676180038,0.6369717153510633,0.18629704951026885,-70.67176247671719,13.049532506447125,1.7166948015147083,57
1.041742758544444,1.1205193628654566,0.6369675516139389,0.1862975235588738,-70.67176727965139,13.049468308937954,1.7166877740538968,58
1.041743037053801,1.1205147741796087,0.6369635609678287,0.18629798681365028,-70.67177038867312,13.049407459672265,1.7166811122358574,59
1.0417433031445609,1.1205103901010374,0.6369597345862618,0.18629843955158826,-70.67177192043782,13.049349772429212,1.7166747955066866,60
1.0417435574730622,1.120506199815986,0.6369560641269588,0.1862988820463498,-70.67177198454601,13.049295071622952,1.716668804497198,61
1.041743800658731,1.120502193118873,0.6369525417044624,0.18629931456771254,-70.67177068396322,13.04924319168418,1.7166631209533842,62
1.0417440332862196,1.120498360377033,0.6369491598643435,0.18629973738110228,-70.67176811541462,13.049193976478243,1.7166577276710417,63
1.0417442559074208,1.1204946924975518,0.6369459115588917,0.1863001507472044,-70.67176436975592,13.049147278757667,1.716652608434302,64
1.0417444690433608,1.1204911808960663,0.6369427901242012,0.1863005549216454,-70.67175953232213,13.04910295964699,1.7166477479578326,65
1.041744673185981,1.1204878174674138,0.6369397892585728,0.186300950154736,-70.67175368325529,13.049060888157971,1.7166431318324806,66
1.0417448687998134,1.1204845945580135,0.6369369030021536,0.18630133669126914,-70.67174689781272,13.049020940733362,1.7166387464741515,67
1.0417450563235593,1.12048150493988,0.636934125717743,0.18630171477036625,-70.67173924665681,13.048983000817497,1.7166345790757245,68
1.0417452361715733,1.1204785417861636,0.6369314520726975,0.18630208462536565,-70.67173079612748,13.048946958452126,1.716630617561822,69
1.0417454087352593,1.1204756986481337,0.6369288770218688,0.18630244648374836,-70.67172160849837,13.04891270989596,1.7166268505462587,70
1.0417455743843875,1.12047296943351,0.6369263957915177,0.18630280056709647,-70.67171174221795,13.04888015726652,1.7166232672920085,71
1.0417457334683307,1.120470348386067,0.6369240038641443,0.1863031470910799,-70.67170125213607,13.048849208202961,1.7166198576735368,72
1.0417458863172302,1.1204678300664306,0.6369216969641848,0.18630348626546775,-70.67169018971715,13.04881977554861,1.716616612141357,73
1.0417460332430941,1.1204654093339994,0.6369194710445207,0.1863038182941611,-70.67167860324072,13.04879177705206,1.716613521688677,74
1.0417461745408296,1.1204630813299197,0.636917322273758,0.1863041433752443,-70.67166653799,13.048765135085704,1.7166105778200063,75
1.0417463104892162,1.1204608414610542,0.636915247024227,0.18630446170105178,-70.67165403642942,13.048739776380689,1.7166077725216125,76
1.041746441351822,1.1204586853848846,0.6369132418606657,0.18630477345824845,-70.67164113837148,13.048715631777293,1.7166050982337115,77
1.0417465673778674,1.1204566089952905,0.6369113035295442,0.18630507882792122,-70.67162788113387,13.048692635989836,1.71660254782429,78
1.0417466888030371,1.1204546084091551,0.6369094289489947,0.18630537798568023,-70.6716142996872,13.048670727385257,1.7166001145644594,79
1.041746805850247,1.1204526799537486,0.6369076151993118,0.18630567110176743,-70.67160042679411,13.048649847774538,1.7165977921052573,80
1.0417469187303647,1.1204508201548398,0.6369058595139903,0.18630595834117197,-70.67158629314005,13.048629942216236,1.7165955744558,81
1.0417470276428895,1.1204490257254986,0.6369041592712693,0.18630623986375003,-70.67157192745643,13.048610958831398,1.7165934559627143,82
1.0417471327765937,1.1204472935555425,0.6369025119861552,0.18630651582434912,-70.67155735663647,13.048592848629198,1.7165914312907693,83
1.0417472343101248,1.1204456207015947,0.6369009153028932,0.18630678637293466,-70.67154260584431,13.048575565342642,1.7165894954046343,84
1.0417473324125752,1.1204440043777122,0.6368993669878642,0.18630705165471895,-70.67152769861754,13.048559065273782,1.7165876435517025,85
1.0417474272440173,1.1204424419465568,0.6368978649228819,0.18630731181029114,-70.67151265696384,13.04854330714787,1.7165858712459103,86
1.0417475189560097,1.1204409309110706,0.6368964070988669,0.18630756697574774,-70.67149750145192,13.048528251975906,1.716584174252499,87
1.0417476076920726,1.1204394689066315,0.6368949916098757,0.18630781728282297,-70.671482251297,13.048513862925121,1.71658254857366,88
1.0417476935881371,1.120438053693658,0.636893616647467,0.18630806285901869,-70.67146692444142,13.048500105196913,1.7165809904350133,89
1.0417477767729677,1.120436683150637,0.6368922804953819,0.18630830382773314,-70.67145153763043,13.048486945911804,1.7165794962728669,90
1.0417478573685623,1.1204353552675517,0.6368909815245241,0.18630854030838837,-70.67143610648358,13.048474354001003,1.7165780627222167,91
1.0417479354905272,1.1204340681396847,0.6368897181882203,0.18630877241655583,-70.67142064556185,13.048462300104205,1.716576686605439,92
1.0417480112484323,1.1204328199617744,0.6368884890177462,0.18630900026408,-70.67140516843094,13.048450756473246,1.7165753649216349,93
1.0417480847461458,1.120431609022505,0.6368872926181025,0.18630922395919988,-70.67138968772076,13.048439696881282,1.7165740948365917,94
